state,happiness_index_BOW,happiness_index_Roberta
andhra_clean,0.787063862074916,0.787063862074916
sikkim_clean,0.7773036765079571,0.7773036765079571
nagaland_clean,0.7757626112148378,0.7757626112148378
mizoram_clean,0.7730035939386912,0.7730035939386912
gujarat_clean,0.7723776471249911,0.7723776471249911
jharkhand_clean,0.7696946813037779,0.7696946813037779
himachal_clean,0.7696323697693157,0.7696323697693157
tripura_clean,0.764385906227848,0.764385906227848
manipur_clean,0.7635413694319867,0.7635413694319867
meg_clean,0.7629484483353693,0.7629484483353693
uttarpradesh_clean,0.7614883955653388,0.7614883955653388
uttarakhand_clean,0.7595542304397348,0.7595542304397348
raj_clean,0.7578443346535348,0.7578443346535348
bengal_clean,0.7568059914738593,0.7568059914738593
madhya_clean,0.7567521410510522,0.7567521410510522
tamil_clean,0.7566858145628083,0.7566858145628083
chat_clean,0.7562971968034785,0.7562971968034785
bihar_clean,0.7540740892927871,0.7540740892927871
assam_clean,0.7536794582452742,0.7536794582452742
tel_clean,0.7528686401932679,0.7528686401932679
kerala_clean,0.7521069225424039,0.7521069225424039
haryana_clean,0.7513273368152011,0.7513273368152011
maharastra_clean,0.7510843210106604,0.7510843210106604
punjab_clean,0.7505901881832019,0.7505901881832019
odisha_clean,0.7504993462048912,0.7504993462048912
delhi_clean,0.7499709996014741,0.7499709996014741
arunanchal_clean,0.7463436871767044,0.7463436871767044
goa_clean,0.7445596391474133,0.7445596391474133
karnataka_clean,0.7425720143783059,0.7425720143783059
